Statement,Link,Date,Source,Label,category
"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",https://www.politifact.com/factchecks/2021/mar/26/joe-biden/fact-checking-joe-bidens-stats-children-arriving-b/,"arch 26, 2021",Joe Biden,barely-true,fake
"""Since 2006 Texas has given $19B in taxpayer subsidies to wind energy companies. Over the past 2-3 years Texas has tripled our dependence on wind energy to 23-25 percent of our energy distribution system.""",https://www.politifact.com/factchecks/2021/mar/26/allen-west/no-texas-has-not-given-19-billion-wind-subsidies/,"arch 26, 2021",Allen West,FALSE,fake
“You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.”,https://www.politifact.com/factchecks/2021/mar/26/james-edming/yes-vaccines-are-safe-despite-quick-timeline/,"arch 26, 2021",James Edming,pants-fire,fake
We are sending back the vast majority of the families that are coming.,https://www.politifact.com/factchecks/2021/mar/25/joe-biden/fact-checking-joe-bidens-claim-about-families-bord/,"arch 25, 2021",Joe Biden,FALSE,fake
Bull sharks were released in an Arkansas river.,https://www.politifact.com/factchecks/2021/mar/25/viral-image/no-bull-sharks-werent-dumped-arkansas-river/,"arch 25, 2021",Viral image,FALSE,fake
Passports aren’t required to enter the United States from Mexico and Canada.,https://www.politifact.com/factchecks/2021/mar/25/facebook-posts/yes-passports-are-generally-required-enter-us-some/,"arch 25, 2021",Facebook posts,barely-true,fake
"""Suez Canal blocked by huge container ship named Evergreen. Evergreen shipping is most likely a cover for human and sex trafficking” by Hillary Clinton.",https://www.politifact.com/factchecks/2021/mar/25/facebook-posts/evergreen-ship-blocking-suez-canal-not-linked-hill/,"arch 25, 2021",Facebook posts,pants-fire,fake
"A CNN chyron said the Boulder “shooter was factually Arabic, but morally white.”",https://www.politifact.com/factchecks/2021/mar/25/facebook-posts/no-cnn-chyron-did-not-call-boulder-shooter-factual/,"arch 25, 2021",Facebook posts,pants-fire,fake
"""80% of people taking the Moderna vaccine had significant side effects, via Bill Gates.""",https://www.politifact.com/factchecks/2021/mar/25/facebook-posts/no-gates-didnt-say-80-getting-moderna-vaccine-had-/,"arch 25, 2021",Facebook posts,FALSE,fake
“New information coming in that Boulder shooter was a Syrian refugee who arrived via Obama-era asylum programs.”,https://www.politifact.com/factchecks/2021/mar/24/jack-posopiec/boulder-shooting-suspect-didnt-come-us-during-obam/,"arch 24, 2021",Jack Posobiec,barely-true,fake
"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",https://www.politifact.com/factchecks/2021/mar/24/donald-trump/what-trump-omits-his-attack-biden-about-border-sec/,"arch 24, 2021",Donald Trump,barely-true,fake
"The “president of Drag Queen Story Hour” was “arrested, charged with child pornography.”",https://www.politifact.com/factchecks/2021/mar/24/facebook-posts/milwaukee-county-judge-charged-child-pornography-w/,"arch 24, 2021",Facebook posts,FALSE,fake
"“Finally, a judge has ruled Dominion voting machines were designed to create fraud.”",https://www.politifact.com/factchecks/2021/mar/23/facebook-posts/no-judge-has-not-ruled-dominion-voting-machines-we/,"arch 23, 2021",Facebook posts,FALSE,fake
"“There was no violence on the Senate side, in terms of the chamber.”",https://www.politifact.com/factchecks/2021/mar/23/ron-johnson/johnson-errs-claiming-senate-had-no-violence-jan6/,"arch 23, 2021",Ron Johnson,barely-true,fake
"The shooting in Boulder, Colo., was a ""false flag like most of the others.""",https://www.politifact.com/factchecks/2021/mar/23/facebook-posts/boulder-shooting-was-not-false-flag-attack/,"arch 23, 2021",Facebook posts,pants-fire,fake
The southern U.S. border “is now open to anyone from anywhere in the world who wishes to enter our country.”,https://www.politifact.com/factchecks/2021/mar/23/jeanine-pirro/fox-news-jeanine-pirro-wrongly-claims-us-border-op/,"arch 23, 2021",Jeanine Pirro,FALSE,fake
“Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.”,https://www.politifact.com/factchecks/2021/mar/23/facebook-posts/no-texas-isnt-finishing-border-wall-operation-lone/,"arch 23, 2021",Facebook posts,FALSE,fake
"Gas costs $7.89 at a station in Albuquerque, New Mexico.",https://www.politifact.com/factchecks/2021/mar/23/viral-image/no-gas-doesnt-cost-789-albuquerque/,"arch 23, 2021",Viral image,FALSE,fake
"Under H.R. 1, the Federal Election Commission “for the first time ever, instead of being an equal number of Republicans and Democrats (would be) three of one side and two of the other.""",https://www.politifact.com/factchecks/2021/mar/22/roy-blunt/roy-blunt-miscasts-how-hr-1-would-reshape-federal-/,"arch 22, 2021",Roy Blunt,barely-true,fake
The movie “I am Legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”,https://www.politifact.com/factchecks/2021/mar/22/facebook-posts/no-movie-i-am-legend-was-not-based-2021-and-outbre/,"arch 22, 2021",Facebook posts,FALSE,fake
“Jamaica has not recorded any case of the coronavirus.”,https://www.politifact.com/factchecks/2021/mar/22/viral-image/jamaica-has-had-thousands-covid-19-cases-and-hundr/,"arch 22, 2021",Viral image,pants-fire,fake
Aluminum “is in the vaccine” and will hurt the brain.,https://www.politifact.com/factchecks/2021/mar/22/instagram-posts/instagram-post-suggests-covid-19-vaccines-contain-/,"arch 22, 2021",Instagram posts,FALSE,fake
"“Joe Biden and Kamala Harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”",https://www.politifact.com/factchecks/2021/mar/22/facebook-posts/no-evidence-joe-biden-ordered-national-guard-parki/,"arch 22, 2021",Facebook posts,barely-true,fake
Says Disneyland is enforcing a “no scream” policy on roller coasters.,https://www.politifact.com/factchecks/2021/mar/22/viral-image/no-disneyland-isnt-enforcing-no-scream-policy/,"arch 22, 2021",Viral image,FALSE,fake
Video “proves 100% that President Joe Biden is not a ‘human’ being.”,https://www.politifact.com/factchecks/2021/mar/22/viral-image/no-video-doesnt-prove-biden-isnt-human/,"arch 22, 2021",Viral image,pants-fire,fake
“You will need a WHO Yellow Vaccination Passport if you plan on traveling internationally once borders open.”,https://www.politifact.com/factchecks/2021/mar/22/tiktok-posts/no-you-dont-need-who-vaccination-certificate-trave/,"arch 22, 2021",TikTok posts,barely-true,fake
"“Pelosi’s $1.9 trillion bailout gives EVERY federal employee a $21,000 bonus check… they never lost their job!”",https://www.politifact.com/factchecks/2021/mar/19/facebook-posts/no-covid-19-relief-law-doesnt-give-federal-workers/,"arch 19, 2021",Facebook posts,FALSE,fake
"“Black Lives Matter of Atlanta Charged with Wire Fraud, Money Laundering and Allegedly Using almost 500k in Donations For Personal Use.”",https://www.politifact.com/factchecks/2021/mar/19/tweets/no-black-lives-matter-wasnt-charged-fraudulently-s/,"arch 19, 2021",Tweets,FALSE,fake
"Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.",https://www.politifact.com/factchecks/2021/mar/19/facebook-posts/no-evidence-burisma-admitted-paying-joe-biden-9000/,"arch 19, 2021",Facebook posts,FALSE,fake
A CDC study found that “mask mandates made no statistical difference” on coronavirus case rates.,https://www.politifact.com/factchecks/2021/mar/19/blog-posting/no-cdc-study-did-not-find-mask-mandates-make-no-st/,"arch 19, 2021",Bloggers,pants-fire,fake
"""We’ve had more voter turnout since voter ID was passed than ever before.""",https://www.politifact.com/factchecks/2021/mar/19/duey-stroebel/record-turnouts-after-voter-id-law-passed-not-real/,"arch 19, 2021",Duey Stroebel,barely-true,fake
"By ending the Keystone XL Pipeline project, President Joe Biden “imperiled one of Donald Trump's most significant achievements, which was that we had achieved American energy independence.”",https://www.politifact.com/factchecks/2021/mar/19/eric-greitens/greitens-missed-mark-keystone-xl-statement/,"arch 19, 2021",Eric Greitens,barely-true,fake
"Says Candace Owens tweeted, “Yes, my husband did cheat on me with my brother. Yes, he said no when I asked to join.”",https://www.politifact.com/factchecks/2021/mar/19/viral-image/no-candace-owens-tweet-isnt-real/,"arch 19, 2021",Viral image,FALSE,fake
Video shows Joe Biden faked an interview in front of a green screen.,https://www.politifact.com/factchecks/2021/mar/18/youtube-videos/no-biden-didnt-fake-interview-front-green-screen/,"arch 18, 2021",YouTube videos,pants-fire,fake
The Atlanta shooting suspect wrote an anti-China post on Facebook prior to the shootings.,https://www.politifact.com/factchecks/2021/mar/18/facebook-posts/anti-china-post-supposedly-written-atlanta-shootin/,"arch 18, 2021",Facebook posts,FALSE,fake
“70% of Georgians said they would vote for Trump in 2024.”,https://www.politifact.com/factchecks/2021/mar/18/mike-huckabee/huckabee-post-misstates-georgia-survey-results-sup/,"arch 18, 2021",Mike Huckabee,FALSE,fake
“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,https://www.politifact.com/factchecks/2021/mar/17/kevin-mccarthy/gops-mccarthy-wrongly-accuses-democrats-destroying/,"arch 17, 2021",Kevin McCarthy,pants-fire,fake
Says Meghan Markle tweeted about Oprah Winfrey following her primetime interview.,https://www.politifact.com/factchecks/2021/mar/17/viral-image/no-meghan-markle-didnt-tweet-about-oprah-winfrey-t/,"arch 17, 2021",Viral image,pants-fire,fake
"The Washington Post was ""forced to correct what (Donald Trump) told the secretary of state of Georgia.”",https://www.politifact.com/factchecks/2021/mar/17/maria-bartiromo/maria-bartiromo-conflates-trumps-georgia-calls-pri/,"arch 17, 2021",Maria Bartiromo,FALSE,fake
A photo shows a recent White House event was actually filmed at Tyler Perry Studios in Atlanta.,https://www.politifact.com/factchecks/2021/mar/17/facebook-posts/no-image-white-house-rose-garden-event-wasnt-taken/,"arch 17, 2021",Facebook posts,pants-fire,fake
“Actor Tom Hanks has passed away age 63.”,https://www.politifact.com/factchecks/2021/mar/17/viral-image/no-tom-hanks-didnt-die/,"arch 17, 2021",Viral image,pants-fire,fake
